NAME_ENGL,ISO3_CODE,pillar_num,pillar_txt,type,title,publisher,url,version
Chile,CHL,3,Responsibility and sustainability,Analysis,Platform governance & moderation,Derechos Digitales,https://www.derechosdigitales.org/wp-content/uploads/radiografia-moderacion-contenidos-chile-2024.pdf,2
Chile,CHL,1,Connectivity and infrastructure,Source,Fibra Óptica Austral (Chile),Silica Networks,https://www.silicanetworks.com/es/foa/,1
China,CHN,1,Connectivity and infrastructure,Analysis,Resilience & infrastructure,Internet Society,https://pulse.internetsociety.org/en/reports/CN,2
China,CHN,4,Trust and resilience,Analysis,Internet resilience,Internet Society,https://pulse.internetsociety.org/en/resilience/CN,2
China,CHN,2,Rights and freedoms,Analysis,Digital rights,Freedom House,https://freedomhouse.org/country/china/freedom-net/2024,2
China,CHN,1,Connectivity and infrastructure,Analysis,Mobile connectivity enablers,GSMA,https://www.mobileconnectivityindex.com/assets/excelData/MCI_data_2025.xlsx,2
China,CHN,1,Connectivity and infrastructure,Analysis,Mobile internet trends,GSMA,https://www.gsma.com/r/somic/,2
China,CHN,1,Connectivity and infrastructure,Analysis,Global indicators & benchmarks,ITU,https://www.itu.int/en/ITU-D/Statistics/pages/facts/default.aspx,2
China,CHN,3,Responsibility and sustainability,Analysis,Digital economy & governance,World Bank,https://www.worldbank.org/en/publication/digital-progress-and-trends-report,2
China,CHN,4,Trust and resilience,Analysis,Shutdowns,Access Now,https://www.accessnow.org/wp-content/uploads/2025/02/KeepItOn-2024-Internet-Shutdowns-Annual-Report.pdf,2
China,CHN,2,Rights and freedoms,Analysis,Network disruptions & censorship,NetBlocks,https://netblocks.org/reports,2
China,CHN,3,Responsibility and sustainability,Analysis,Trends & governance,Internet Society,https://www.internetsociety.org/globalinternetreport/,2
China,CHN,1,Connectivity and infrastructure,Analysis,The Locknet (China),China File,https://locknet.chinafile.com/the-locknet/intro/,1
China,CHN,2,Rights and freedoms,Analysis,The Locknet (China),China File,https://locknet.chinafile.com/the-locknet/intro/,1
China,CHN,3,Responsibility and sustainability,Analysis,The Locknet (China),China File,https://locknet.chinafile.com/the-locknet/intro/,1
China,CHN,1,Connectivity and infrastructure,Academic,Export surveillance,IJCJ&SD,https://doi.org/10.5204/ijcjsd.1908,4
